aX,aY,aZ,gX,gY,gZ
1.130,0.304,0.602,-102.295,256.348,94.360
1.185,0.282,0.704,-69.031,186.768,65.979
1.203,0.251,0.726,-49.805,145.020,54.688
1.191,0.176,0.698,-7.324,68.542,34.302
1.131,0.114,0.626,36.133,20.752,18.494
1.110,0.072,0.581,56.702,6.775,10.559
1.025,0.028,0.473,89.111,-4.578,-0.305
0.982,0.002,0.355,108.704,-12.817,-4.150
0.959,-0.010,0.317,112.610,-18.860,-1.709
0.952,-0.017,0.216,108.276,-28.809,1.282
0.935,-0.018,0.136,95.032,-38.208,6.287
0.943,-0.013,0.117,85.999,-39.612,9.460
0.975,-0.019,0.040,71.899,-41.809,7.324
0.982,0.002,0.017,54.810,-44.556,12.939
0.996,0.022,0.014,48.340,-44.739,13.184
0.994,0.007,-0.021,35.278,-44.861,2.991
1.005,0.010,-0.019,26.917,-44.250,-7.202
1.002,0.021,-0.030,25.574,-42.053,-13.428
0.977,0.044,-0.040,25.330,-33.630,-24.902
0.957,0.056,-0.048,22.583,-28.809,-32.654
0.944,0.074,-0.052,20.386,-28.992,-34.180
0.925,0.106,-0.070,16.663,-30.884,-35.767
0.907,0.126,-0.077,14.771,-34.302,-35.950
0.908,0.137,-0.071,14.709,-34.607,-35.034
0.911,0.158,-0.089,18.433,-33.997,-34.973
0.903,0.171,-0.119,23.193,-31.372,-35.217
0.914,0.185,-0.122,25.085,-30.945,-34.729
0.916,0.195,-0.143,28.015,-30.945,-33.386
0.911,0.194,-0.149,30.579,-29.053,-31.738
0.919,0.193,-0.181,30.457,-27.466,-30.579
0.902,0.195,-0.213,27.344,-30.029,-27.893
0.901,0.202,-0.221,21.606,-34.546,-22.400
0.896,0.209,-0.244,18.860,-36.255,-20.203
0.913,0.211,-0.237,14.893,-37.170,-16.174
0.897,0.204,-0.250,14.160,-37.598,-13.245
0.912,0.215,-0.242,15.198,-35.889,-11.780
0.904,0.207,-0.274,19.348,-29.419,-11.169
0.919,0.197,-0.262,25.208,-25.818,-10.132
0.918,0.192,-0.262,27.039,-22.400,-8.972
0.905,0.186,-0.286,33.142,-15.625,-9.033
0.901,0.184,-0.279,34.973,-12.329,-9.460
0.909,0.155,-0.294,35.339,-10.010,-6.775
0.924,0.119,-0.299,31.189,-9.155,-3.418
0.934,0.146,-0.322,29.297,-9.460,-3.784
0.929,0.115,-0.307,22.949,-7.568,-4.944
0.932,0.113,-0.299,16.235,-4.639,-5.615
0.927,0.110,-0.286,12.146,-4.333,-5.188
0.921,0.114,-0.266,7.568,-1.282,-7.568
0.904,0.099,-0.259,3.845,2.747,-9.460
0.921,0.111,-0.226,3.174,3.967,-10.742
0.916,0.109,-0.212,0.610,6.592,-10.010
0.911,0.136,-0.175,0.427,7.141,-10.864
0.914,0.139,-0.178,-0.183,5.981,-12.146
0.927,0.139,-0.165,0.305,4.150,-11.841
0.925,0.144,-0.145,1.648,3.235,-12.085
0.931,0.154,-0.148,2.930,2.686,-10.254
0.934,0.132,-0.145,4.761,0.122,-9.888
0.943,0.118,-0.161,7.629,-0.061,-10.437

1.599,-0.045,0.915,67.627,-183.777,-100.830
1.598,-0.129,1.097,99.182,-309.082,-137.939
1.448,-0.123,1.336,161.865,-637.268,-226.074
0.774,-0.311,1.213,169.189,-947.815,-301.453
0.381,-0.467,1.300,140.808,-1067.017,-319.580
-0.313,-0.537,1.522,95.093,-1254.089,-333.374
-0.672,-0.540,1.629,149.963,-1304.199,-348.450
-0.760,-0.438,1.286,218.079,-1280.640,-370.422
-0.911,-0.315,0.374,371.887,-1118.835,-403.748
-1.453,-0.189,-0.710,472.595,-953.735,-367.004
-1.850,-0.029,-1.259,474.060,-885.193,-316.528
-2.509,0.138,-2.254,356.750,-756.897,-163.635
-2.957,-0.029,-2.990,233.215,-582.886,8.545
-2.892,-0.008,-3.277,176.636,-432.922,80.017
-2.209,-0.274,-3.304,38.269,-54.932,156.433
-1.819,-0.539,-2.988,-116.028,277.527,159.058
-1.243,-0.882,-2.197,-184.692,409.363,122.009
-1.108,-0.886,-1.618,-268.188,640.808,-10.132
-1.142,-0.874,-1.529,-266.907,866.455,-158.447
-1.646,-0.658,-1.649,-261.230,948.303,-212.219
-2.290,-0.255,-1.745,-272.339,1085.693,-213.562
-2.558,-0.104,-1.587,-290.710,1209.595,-67.322
-2.571,-0.279,-0.752,-329.712,1225.342,49.133
-2.562,-0.679,-0.025,-446.716,1216.003,266.479
-2.159,-0.943,0.294,-524.231,1030.823,408.386
-1.376,-1.333,0.661,-518.616,924.744,433.838
-0.278,-1.094,1.113,-490.540,768.127,425.049
0.632,-0.674,1.396,-455.078,677.673,416.565
2.958,0.073,2.316,-313.171,489.990,348.450
3.969,0.614,3.254,-53.772,136.597,104.553
3.969,0.528,3.031,74.890,-185.669,-89.417
1.548,-0.322,2.385,243.530,-715.210,-439.087
-0.613,-0.938,2.053,343.018,-1058.228,-533.325
-0.876,-0.811,1.782,338.074,-1205.627,-524.231
-1.157,-0.754,1.893,239.380,-1337.402,-493.164
-1.254,-0.672,1.956,251.221,-1354.675,-499.023
-1.458,-0.539,1.433,315.430,-1325.623,-506.592
-1.287,-0.046,0.152,469.238,-1143.738,-441.040
-1.781,-0.046,-0.937,573.914,-878.845,-330.261
-2.286,-0.019,-1.483,582.458,-792.114,-259.155
-2.835,0.148,-2.794,454.895,-666.138,-86.914
-2.534,0.096,-3.186,234.497,-498.474,75.562
-2.259,-0.152,-3.094,142.212,-340.942,144.836
-1.541,-0.793,-2.478,25.208,-28.442,185.669
-1.165,-1.103,-1.925,-61.340,203.369,112.610
-0.907,-0.927,-1.674,-101.074,290.344,54.382
-0.967,-0.753,-1.229,-153.076,441.284,-56.274
-1.165,-0.361,-1.183,-146.484,558.655,-120.056
-1.275,-0.170,-1.278,-145.447,598.938,-126.709
-1.478,0.229,-1.531,-149.414,652.344,-72.998
-1.487,0.208,-1.659,-201.233,663.696,52.917
-1.469,0.106,-1.542,-243.835,659.607,119.873
-1.212,-0.188,-1.015,-347.107,631.042,256.104
-1.019,-0.431,-0.476,-383.057,639.221,348.389
-0.819,-0.471,-0.214,-382.629,625.244,387.329
-0.375,-0.476,0.109,-332.458,611.511,410.645
0.116,-0.384,0.206,-260.254,576.538,378.784
0.307,-0.290,0.198,-224.304,544.495,360.352
0.624,-0.038,0.111,-146.545,469.604,300.842
0.848,0.155,0.038,-87.646,417.603,243.469
0.931,0.249,0.014,-69.824,403.931,216.064
1.000,0.320,0.026,-46.997,376.343,168.152
0.948,0.280,0.061,-35.950,346.558,123.779
0.929,0.236,0.104,-32.959,324.036,106.262
0.950,0.216,0.132,-22.278,268.616,79.041
0.951,0.224,0.162,-13.672,209.045,60.303
0.951,0.208,0.169,-9.766,182.068,52.917
0.943,0.178,0.208,-2.686,132.324,47.729
0.970,0.158,0.208,12.451,91.003,43.396
0.981,0.125,0.190,22.339,78.369,39.124
0.995,0.078,0.137,43.579,58.411,32.227
0.996,0.037,0.107,64.026,44.800,20.752
1.000,0.033,0.087,71.350,39.246,14.709
0.973,0.024,0.045,77.881,30.701,3.906
0.960,0.022,-0.010,74.036,20.386,-2.502
0.961,0.017,-0.018,70.557,13.733,-6.470
0.937,0.026,-0.063,55.542,2.869,-8.545
0.931,0.028,-0.070,40.833,-8.301,-10.864
0.935,0.030,-0.076,31.982,-13.123,-10.498
0.934,0.060,-0.106,18.066,-22.949,-9.338
