aX,aY,aZ,gX,gY,gZ
-1.584,-0.108,-0.473,215.820,80.444,-292.114
-2.016,0.279,-0.743,203.857,76.538,-244.751
-2.195,0.277,-1.006,175.598,60.547,-155.945
-2.337,0.256,-0.997,100.525,57.190,-57.861
-2.345,0.326,-1.198,62.561,59.021,-6.409
-2.312,0.348,-1.160,-16.174,29.846,83.252
-2.223,0.347,-1.068,-95.459,28.931,162.781
-2.041,0.318,-0.890,-124.939,37.048,198.853
-1.877,0.251,-0.692,-187.195,59.387,257.019
-1.800,0.246,-0.586,-210.083,62.195,281.799
-1.652,0.205,-0.381,-250.610,62.256,335.815
-1.529,0.142,-0.207,-278.687,42.053,390.259
-1.436,0.108,-0.122,-288.513,28.137,422.424
-1.089,-0.015,-0.031,-303.284,-31.738,480.774
-0.685,-0.235,-0.034,-306.213,-101.685,528.259
-0.391,-0.266,-0.048,-301.575,-130.127,555.115
-0.057,-0.347,-0.105,-320.312,-195.312,589.050
0.333,-0.536,-0.140,-313.843,-248.047,634.583
0.528,-0.691,-0.185,-308.044,-268.494,666.809
0.876,-1.049,-0.087,-273.376,-279.297,737.488
1.180,-1.319,-0.105,-201.050,-185.486,810.547
1.508,-1.411,-0.052,-167.847,-141.296,833.252
2.892,-1.413,-0.384,-102.234,-89.966,804.871
3.969,-0.868,-0.855,-128.723,4.272,586.487
3.969,-0.546,-0.454,-181.396,35.156,419.067
3.780,-1.115,0.178,-234.863,120.728,139.771
2.883,-0.999,0.602,-213.623,148.560,-28.625
2.597,-0.965,0.666,-183.472,113.037,-74.402
2.366,-0.877,0.734,-111.328,58.838,-115.479
2.365,-0.777,0.766,-36.377,64.819,-131.531
2.365,-0.763,0.757,1.526,89.661,-150.940
2.263,-0.680,0.688,71.289,139.648,-213.928
2.041,-0.588,0.616,115.112,155.273,-298.523
1.879,-0.582,0.615,131.348,152.161,-341.370
1.656,-0.530,0.511,159.973,130.310,-415.588
1.536,-0.523,0.592,184.875,116.882,-485.352
1.335,-0.500,0.534,198.730,117.920,-517.029
1.082,-0.406,0.522,225.952,130.188,-561.279
0.843,-0.353,0.432,261.536,118.408,-582.703
0.730,-0.298,0.402,277.100,112.854,-588.928
0.497,-0.213,0.316,299.561,102.478,-585.083
0.298,-0.092,0.165,314.087,116.394,-565.796
0.194,-0.012,0.163,317.993,126.831,-556.824
-0.149,0.126,0.069,316.284,151.794,-528.137
-0.415,0.231,-0.023,311.707,145.874,-486.877
-0.528,0.318,-0.026,295.837,109.131,-472.656
-0.681,0.228,-0.059,292.236,88.623,-438.416
-0.899,0.110,-0.031,271.667,81.116,-384.766
-1.162,0.420,-0.270,277.466,76.782,-344.421
-1.279,0.302,-0.389,265.076,53.650,-281.616
-1.543,0.460,-0.654,220.947,96.619,-226.013
-1.534,0.581,-0.905,195.618,96.680,-182.190
-1.615,0.811,-1.067,140.747,65.063,-102.600
-1.474,0.793,-1.065,67.688,12.512,-33.447
-1.421,0.781,-0.957,28.625,-7.568,-4.395
-1.202,0.769,-0.773,-39.368,-23.132,40.527
